visualize scatter select sum ( grant_amount ) , organisation_id from grants group by organisation_id
visualize bar select name , avg ( grade ) from highschooler group by name order by name asc
visualize line select date_of_birth , count ( date_of_birth ) from entrepreneur as t1 join people as t2 on t1 . people_id = t2 . people_id where t1 . investor = {value} or t1 . investor = {value} bin date_of_birth by year
visualize bar select year , count ( year ) from movie group by year order by budget_million
visualize line select date_of_notes , count ( date_of_notes ) from assessment_notes bin date_of_notes by year
visualize line select hire_date , commission_pct from employees where employee_id not in ( select employee_id from job_history ) order by hire_date asc
visualize bar select template_type_code , count ( template_type_code ) from templates where version_number > {value} group by template_type_code order by template_type_code asc
visualize bar select hire_date , sum ( department_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by sum ( department_id ) asc bin hire_date by month
visualize bar select t1 . name , t2 . revenue from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder , t1 . name order by t1 . name desc
visualize bar select nationality , avg ( meter_100 ) from swimmer group by nationality
visualize bar select country_name , count ( * ) from country as t1 join match_season as t2 on t1 . country_id = t2 . country group by t1 . country_name order by country_name desc
visualize bar select founder , avg ( price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder order by founder desc
visualize line select hire_date , employee_id from employees where first_name like {value} or first_name like {value} order by hire_date asc
visualize bar select hire_date , avg ( manager_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by avg ( manager_id ) asc bin hire_date by weekday
visualize bar select rank , count ( * ) from captain group by rank order by count ( * ) asc
visualize bar select first_name , manager_id from employees order by first_name desc
visualize bar select date_of_completion , count ( date_of_completion ) from student_course_enrolment as t1 join student_tests_taken as t2 on t1 . registration_id = t2 . registration_id where t2 . test_result = {value} order by count ( date_of_completion ) desc bin date_of_completion by weekday
visualize scatter select salary , manager_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} )
visualize scatter select author_id , author_tutor_atb from course_authors_and_tutors order by personal_name
visualize bar select origin , count ( * ) from flight group by origin order by count ( * ) desc
visualize line select year , count ( * ) from section group by semester bin year by year
visualize line select start_from , avg ( employee_id ) from hiring bin start_from by year
visualize bar select staff_details , count ( staff_details ) from research_staff group by staff_details order by staff_details asc
visualize bar select date , count ( date ) from weather order by count ( date ) desc bin date by weekday
visualize bar select job_id , department_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} )
visualize line select date_arrived , count ( date_arrived ) from dogs as t1 join treatments as t2 on t1 . dog_id = t2 . dog_id group by date_arrived order by date_arrived desc
visualize scatter select commission_pct , department_id from employees where first_name like {value} or first_name like {value}
visualize bar select born_state , count ( born_state ) from head group by born_state order by count ( born_state ) desc
visualize bar select t1 . name , t1 . id from operate_company as t1 join flight as t2 on t1 . id = t2 . company_id order by t1 . name desc
visualize bar select job_id , sum ( department_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} group by job_id order by sum ( department_id ) desc
visualize bar select meter_700 , id from swimmer order by meter_700 desc
visualize bar select hire_date , sum ( salary ) from employees where hire_date < {value} order by sum ( salary ) desc bin hire_date by weekday
visualize bar select first_name , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by commission_pct asc
visualize bar select founder , avg ( price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder order by founder asc
visualize bar select job_id , sum ( employee_id ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by sum ( employee_id ) desc
visualize bar select pilot , count ( pilot ) from flight group by pilot order by altitude asc
visualize bar select hire_date , sum ( manager_id ) from employees where hire_date < {value} order by sum ( manager_id ) asc bin hire_date by month
visualize bar select headquarter , sum ( revenue ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter order by headquarter asc
visualize scatter select t1 . code , t2 . revenue from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code
visualize bar select job_id , count ( job_id ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by job_id asc
visualize bar select time , meter_100 from swimmer order by time desc
visualize bar select manager_name , count ( manager_name ) from gas_station group by manager_name order by count ( manager_name ) desc
visualize bar select hand , count ( * ) from players group by hand order by hand asc
visualize scatter select team_id , school_id from basketball_match group by acc_home
visualize bar select sex , count ( * ) from employee where salary < {value} group by sex
visualize line select yearid , count ( * ) from hall_of_fame group by yearid order by yearid asc
visualize bar select team_name , team_id from basketball_match order by team_name asc
visualize bar select booking_status_code , count ( * ) from apartment_bookings group by booking_status_code order by count ( * ) asc
visualize scatter select team_id , acc_percent from basketball_match group by acc_home
visualize pie select gender_code , count ( * ) from guests group by gender_code order by count ( * ) desc
visualize bar select days , count ( days ) from course group by days order by credits
visualize bar select time , meter_100 from swimmer order by meter_100 asc
visualize bar select email , salary from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by salary asc
visualize pie select t4 . name , count ( t4 . name ) from swimmer as t1 join record as t2 on t1 . id = t2 . swimmer_id join event as t3 on t2 . event_id = t3 . id join stadium as t4 on t4 . id = t3 . stadium_id where t1 . nationality = {value} group by t4 . name
visualize bar select start_from , avg ( shop_id ) from hiring order by avg ( shop_id ) asc bin start_from by weekday
visualize scatter select invoice_number , count ( * ) from financial_transactions group by invoice_number
visualize bar select acc_road , school_id from basketball_match group by acc_home , acc_road order by acc_road asc
visualize bar select state , avg ( vote_id ) from votes group by state
visualize pie select location , count ( location ) from party group by location
visualize bar select t1 . firstname , t1 . supportrepid from customer as t1 join employee as t2 on t1 . supportrepid = t2 . employeeid order by t1 . supportrepid desc
visualize bar select job , min ( age ) from person group by job order by job desc
visualize bar select date_departed , count ( date_departed ) from dogs as t1 join treatments as t2 on t1 . dog_id = t2 . dog_id bin date_departed by weekday
visualize bar select acc_road , avg ( team_id ) from basketball_match group by acc_road
visualize bar select day_of_week , avg ( high_temperature ) from weekly_weather group by day_of_week order by avg ( high_temperature ) desc
visualize bar select headquarter , sum ( price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter order by sum ( price ) desc
visualize bar select city , count ( * ) from station group by city
visualize scatter select support_rate , consider_rate from candidate
visualize bar select lot_details , count ( lot_details ) from investors as t1 join lots as t2 on t1 . investor_id = t2 . investor_id where t1 . investor_details = {value} group by lot_details order by lot_details asc
visualize scatter select acc_percent , all_games_percent from basketball_match
visualize pie select state , sum ( vote_id ) from votes group by state
visualize bar select allergy , count ( * ) from has_allergy group by allergy order by count ( * ) desc
visualize bar select team_name , acc_percent from basketball_match order by acc_percent desc
visualize bar select affiliation , sum ( enrollment ) from university group by affiliation order by sum ( enrollment ) asc
visualize bar select email , department_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by email desc
visualize scatter select team_id , school_id from basketball_match
visualize bar select hire_date , avg ( salary ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} bin hire_date by month
visualize bar select class , count ( class ) from captain group by rank , class order by class desc
visualize bar select all_games , team_id from basketball_match order by team_id desc
visualize bar select position , count ( * ) from match_season group by position order by count ( * ) asc
visualize scatter select avg ( pet_age ) , max ( pet_age ) from pets group by pettype
visualize bar select meter_200 , sum ( id ) from swimmer group by meter_200 order by sum ( id ) desc
visualize bar select booking_status_code , count ( * ) from apartment_bookings group by booking_status_code order by booking_status_code asc
visualize bar select manager_name , count ( manager_name ) from gas_station group by manager_name order by manager_name asc
visualize bar select subject_name , count ( * ) from courses as t1 join subjects as t2 on t1 . subject_id = t2 . subject_id group by t1 . subject_id order by subject_name asc
visualize bar select job_id , count ( job_id ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by count ( job_id ) desc
visualize line select hire_date , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by hire_date desc
visualize bar select log_entry_date , problem_log_id from problem_log where problem_id = {value} order by log_entry_date desc
visualize bar select nationality , count ( nationality ) from ship group by type , nationality order by count ( nationality ) asc
visualize bar select all_home , school_id from basketball_match group by acc_home , all_home
visualize bar select position , count ( position ) from pilot group by position order by count ( position ) desc
visualize bar select job_id , avg ( department_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} group by job_id order by job_id desc
visualize pie select t1 . budget_type_code , count ( t1 . budget_type_code ) from documents_with_expenses as t1 join ref_budget_codes as t2 on t1 . budget_type_code = t2 . budget_type_code group by t1 . budget_type_code
visualize bar select nominee , count ( * ) from musical group by nominee order by nominee desc
visualize bar select class , count ( class ) from captain group by class
visualize bar select job_id , sum ( salary ) from employees where first_name like {value} or first_name like {value} group by job_id order by sum ( salary ) desc
visualize scatter select t1 . code , t1 . price from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code
visualize line select date_address_to , avg ( monthly_rental ) from student_addresses group by date_address_to order by monthly_rental desc
visualize bar select sex , avg ( age ) from student group by sex order by avg ( age ) desc
visualize bar select job_id , sum ( manager_id ) from employees where hire_date < {value} group by job_id order by job_id desc
visualize bar select gender , avg ( age ) from person group by gender order by avg ( age ) desc
visualize bar select hire_date , avg ( department_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} bin hire_date by weekday
visualize bar select store_name , count ( store_name ) from bookings as t1 join drama_workshop_groups as t2 on t1 . workshop_group_id = t2 . workshop_group_id where t1 . status_code = {value} group by store_name order by count ( store_name ) asc
visualize line select hire_date , department_id from employees where hire_date < {value} order by hire_date asc
visualize bar select job , min ( age ) from person group by job order by job asc
visualize bar select is_full_time , count ( is_full_time ) from hiring group by is_full_time order by count ( is_full_time ) asc
visualize bar select allergytype , count ( * ) from allergy_type group by allergytype order by count ( * ) desc
visualize bar select party , count ( * ) from people group by party order by count ( * ) desc
visualize bar select operating_system , count ( * ) from web_client_accelerator group by operating_system order by operating_system desc
visualize bar select name , count ( name ) from course_arrange as t1 join course as t2 on t1 . course_id = t2 . course_id join teacher as t3 on t1 . teacher_id = t3 . teacher_id group by name order by name asc
visualize bar select dorm_name , avg ( t1 . age ) from student as t1 join lives_in as t2 on t1 . stuid = t2 . stuid join dorm as t3 on t3 . dormid = t2 . dormid group by t3 . dorm_name order by dorm_name desc
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter , t1 . name
visualize bar select destination , count ( * ) from flight group by destination order by count ( * ) desc
visualize bar select last_name , manager_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by manager_id desc
visualize bar select headquarter , avg ( manufacturer ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter order by headquarter asc
visualize line select payment_date , count ( payment_date ) from payments where amount_paid > {value} or payment_type_code = {value} group by payment_date order by payment_date desc
visualize bar select name , count ( name ) from course_arrange as t1 join course as t2 on t1 . course_id = t2 . course_id join teacher as t3 on t1 . teacher_id = t3 . teacher_id group by name order by name desc
visualize bar select allergy , count ( * ) from has_allergy group by allergy
visualize bar select name , count ( * ) from flight as t1 join aircraft as t2 on t1 . aid = t2 . aid group by t1 . aid order by name desc
visualize bar select t2 . founder , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . founder order by t2 . founder desc
visualize bar select product_name , count ( product_name ) from products where product_price > {value} or product_price < {value} group by product_name order by product_name desc
visualize line select year , count ( year ) from results as t1 join races as t2 on t1 . raceid = t2 . raceid join drivers as t3 on t1 . driverid = t3 . driverid where t3 . forename = {value} group by year order by year asc
visualize bar select document_type_description , count ( document_type_description ) from ref_document_types as t1 join documents as t2 on t1 . document_type_code = t2 . document_type_code group by document_type_description order by count ( document_type_description ) desc
visualize line select season , count ( season ) from game group by away_team , season order by season desc
visualize bar select decor , count ( * ) from rooms where baseprice > {value} group by decor
visualize bar select fname , count ( fname ) from student as t1 join lives_in as t2 on t1 . stuid = t2 . stuid join dorm as t3 on t3 . dormid = t2 . dormid where t3 . dorm_name = {value} group by fname
visualize bar select payment_method_code , sum ( amount_payment ) from payments group by payment_method_code order by sum ( amount_payment ) desc
visualize bar select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} order by count ( date ) asc bin date by weekday
visualize bar select t2 . headquarter , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . headquarter order by t1 . code desc
visualize bar select dates_active , number_deaths from storm where number_deaths >= {value}
visualize bar select booking_start_date , count ( booking_start_date ) from apartment_bookings as t1 join apartments as t2 on t1 . apt_id = t2 . apt_id where t2 . bedroom_count > {value} order by count ( booking_start_date ) desc bin booking_start_date by weekday
visualize bar select t2 . middle_name , t1 . student_id from student_course_enrolment as t1 join students as t2 on t1 . student_id = t2 . student_id order by t1 . student_id desc
visualize bar select subject_name , count ( * ) from courses as t1 join subjects as t2 on t1 . subject_id = t2 . subject_id group by t1 . subject_id order by subject_name desc
visualize bar select date_of_birth , count ( date_of_birth ) from guests where gender_code = {value} order by count ( date_of_birth ) asc bin date_of_birth by weekday
visualize bar select crs_code , count ( crs_code ) from class as t1 join employee as t2 on t1 . prof_num = t2 . emp_num group by crs_code
visualize pie select acc_road , sum ( team_id ) from basketball_match group by acc_road
visualize bar select budget_type_code , count ( * ) from documents_with_expenses group by budget_type_code order by count ( * ) desc
visualize pie select document_type_description , count ( document_type_description ) from ref_document_types as t1 join documents as t2 on t1 . document_type_code = t2 . document_type_code group by document_type_description
visualize pie select nationality , count ( nationality ) from journalist group by nationality
visualize line select hire_date , salary from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} order by hire_date desc
visualize scatter select employee_id , manager_id from employees where employee_id not in ( select employee_id from job_history )
visualize bar select headquarter , sum ( price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter order by headquarter desc
visualize pie select denomination , count ( * ) from school group by denomination
visualize bar select cust_name , acc_bal from customer where cust_name like {value} order by cust_name desc
visualize pie select fname , count ( fname ) from student where age > {value} and major != {value} and sex = {value} group by fname
visualize scatter select commission_pct , manager_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} )
visualize bar select founder , avg ( price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder order by founder desc
visualize bar select hire_date , avg ( manager_id ) from employees where first_name like {value} or first_name like {value} order by avg ( manager_id ) desc bin hire_date by weekday
visualize bar select name , avg ( t1 . stars ) from rating as t1 join reviewer as t2 on t1 . rid = t2 . rid group by t2 . name
visualize pie select party_name , count ( * ) from party_events as t1 join party as t2 on t1 . party_id = t2 . party_id group by t1 . party_id
visualize line select date , count ( date ) from weather where max_temperature_f > {value} group by date
visualize bar select bedtype , avg ( baseprice ) from rooms group by bedtype
visualize line select start_from , sum ( employee_id ) from hiring bin start_from by year
visualize bar select crs_code , count ( crs_code ) from class as t1 join employee as t2 on t1 . prof_num = t2 . emp_num group by crs_code order by crs_code asc
visualize bar select t1 . name , t1 . manufacturer from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name order by t1 . manufacturer asc
visualize bar select phone_number , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by phone_number asc
visualize bar select premises_type , count ( * ) from premises group by premises_type order by premises_type asc
visualize bar select t1 . part_name , t1 . part_id from parts as t1 join part_faults as t2 on t1 . part_id = t2 . part_id order by t1 . part_name desc
visualize bar select name , count ( * ) from projects as t1 join assignedto as t2 on t1 . code = t2 . project group by t1 . name order by count ( * ) desc
visualize bar select headquarter , avg ( price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter
visualize bar select title , count ( title ) from rating as t1 join movie as t2 on t1 . mid = t2 . mid where t1 . stars between {value} and {value} group by title order by count ( title ) desc
visualize pie select transaction_type_code , avg ( amount_of_transaction ) from transactions group by transaction_type_code
visualize bar select payment_date , count ( payment_date ) from payments where amount_paid > {value} or payment_type_code = {value} bin payment_date by weekday
visualize bar select t2 . founder , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . founder
visualize scatter select t1 . price , t2 . revenue from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by name
visualize pie select result , count ( * ) from music_festival group by result order by count ( * ) desc
visualize bar select type , avg ( tonnage ) from ship group by type order by type asc
visualize pie select name , surfacearea from country order by surfacearea desc limit {value}
visualize bar select document_date , count ( document_date ) from ref_document_types as t1 join documents as t2 on t1 . document_type_code = t2 . document_type_code group by document_type_description bin document_date by weekday
visualize bar select rank , count ( * ) from faculty group by sex , rank order by count ( * ) asc
visualize bar select date , count ( date ) from weather order by count ( date ) asc bin date by weekday
visualize pie select t1 . project_details , t1 . project_id from projects as t1 join documents as t2 on t1 . project_id = t2 . project_id
visualize scatter select t1 . manufacturer , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code
visualize bar select region_name , count ( * ) from region as t1 join affected_region as t2 on t1 . region_id = t2 . region_id group by t1 . region_id order by region_name asc
visualize scatter select order_id , sum ( product_quantity ) from order_items group by order_id
visualize bar select hire_date , avg ( salary ) from employees where hire_date < {value} order by avg ( salary ) asc bin hire_date by month
visualize pie select acc_regular_season , school_id from basketball_match
visualize bar select dept_code , min ( stu_gpa ) from student group by dept_code order by dept_code asc
visualize pie select team_name , acc_percent from basketball_match
visualize bar select dept_name , sum ( credits ) from course group by dept_name order by dept_name asc
visualize bar select date , count ( date ) from member_attendance as t1 join member as t2 on t1 . member_id = t2 . member_id join performance as t3 on t1 . performance_id = t3 . performance_id where t2 . role = {value} group by date order by date desc
visualize pie select venue , count ( venue ) from match group by venue order by date desc
visualize scatter select count ( * ) , classroom from list group by classroom
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name , t1 . name
visualize bar select title , count ( title ) from schedule as t1 join film as t2 on t1 . film_id = t2 . film_id join cinema as t3 on t1 . cinema_id = t3 . cinema_id group by title order by count ( title ) asc
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name
visualize bar select allergytype , count ( allergytype ) from allergy_type group by allergytype order by count ( allergytype ) asc
visualize bar select country , count ( * ) from people group by country order by count ( * ) asc
visualize bar select all_road , acc_percent from basketball_match order by all_road asc
visualize line select hire_date , employee_id from employees where hire_date < {value} order by hire_date asc
visualize bar select meter_300 , meter_100 from swimmer order by meter_300 desc
visualize bar select t1 . investor_details , t1 . investor_id from investors as t1 join transactions as t2 on t1 . investor_id = t2 . investor_id where t2 . transaction_type_code = {value} order by t1 . investor_details asc
visualize bar select paragraph_text , count ( paragraph_text ) from paragraphs as t1 join documents as t2 on t1 . document_id = t2 . document_id where t2 . document_name = {value} group by paragraph_text order by paragraph_text asc
visualize line select creation , count ( creation ) from department group by creation order by creation desc
visualize bar select acc_regular_season , school_id from basketball_match
visualize bar select title , count ( title ) from course as t1 join prereq as t2 on t1 . course_id = t2 . course_id group by title order by count ( title ) desc
visualize bar select comptroller , count ( comptroller ) from election as t1 join party as t2 on t1 . party = t2 . party_id where t1 . district = {value} or t1 . district = {value} group by comptroller order by comptroller asc
visualize bar select class , count ( class ) from captain group by class order by count ( class ) desc
visualize bar select t1 . title , t1 . albumid from album as t1 join track as t2 on t1 . albumid = t2 . albumid where t2 . unitprice > {value}
visualize bar select treatment_type_description , avg ( cost_of_treatment ) from treatments as t1 join treatment_types as t2 on t1 . treatment_type_code = t2 . treatment_type_code group by treatment_type_description order by avg ( cost_of_treatment ) asc
visualize bar select event_details , count ( event_details ) from events as t1 join participants_in_events as t2 on t1 . event_id = t2 . event_id group by event_details order by count ( event_details ) desc
visualize line select year , max ( score ) from wine group by year order by year asc
visualize bar select type , count ( * ) from ship group by type order by count ( * ) asc
visualize bar select director , count ( director ) from movie where year = {value} or year = {value} group by director
visualize bar select meter_200 , sum ( id ) from swimmer group by meter_200 order by sum ( id ) asc
visualize bar select builder , count ( * ) from railway group by builder order by builder asc
visualize bar select role_code , count ( * ) from users group by role_code
visualize bar select t1 . course_name , t1 . course_id from courses as t1 join sections as t2 on t1 . course_id = t2 . course_id order by t1 . course_name asc
visualize bar select main_industry , sum ( market_value ) from company group by main_industry
visualize bar select t3 . name , count ( * ) from news_report as t1 join event as t2 on t1 . event_id = t2 . event_id join journalist as t3 on t1 . journalist_id = t3 . journalist_id group by t3 . name order by count ( * ) asc
visualize bar select name , count ( name ) from appointment as t1 join patient as t2 on t1 . patient = t2 . ssn group by name order by name desc
visualize bar select type , count ( type ) from ship group by type order by type desc
visualize bar select theme , count ( * ) from singer_in_concert as t1 join concert as t2 on t1 . concert_id = t2 . concert_id group by t2 . concert_id
visualize bar select cname , count ( * ) from tryout group by cname order by count ( * ) desc
visualize bar select sportname , count ( * ) from sportsinfo group by sportname order by sportname desc
visualize bar select district , count ( district ) from phone_market as t1 join market as t2 on t1 . market_id = t2 . market_id join phone as t3 on t1 . phone_id = t3 . phone_id group by district order by t2 . ranking
visualize bar select date_departed , count ( date_departed ) from dogs as t1 join treatments as t2 on t1 . dog_id = t2 . dog_id order by count ( date_departed ) asc bin date_departed by weekday
visualize bar select job , avg ( age ) from person where gender = {value} group by job order by avg ( age ) desc
visualize bar select meter_400 , meter_100 from swimmer order by meter_100 desc
visualize bar select nationality , avg ( id ) from swimmer group by nationality order by nationality desc
visualize bar select t2 . name , t1 . price from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name
visualize bar select t1 . continent , count ( * ) from continents as t1 join countries as t2 on t1 . contid = t2 . continent join car_makers as t3 on t2 . countryid = t3 . country group by t1 . continent order by count ( * ) asc
visualize bar select location_code , count ( * ) from document_locations group by location_code order by count ( * ) desc
visualize bar select competition_type , count ( competition_type ) from competition group by competition_type order by count ( competition_type ) desc
visualize bar select hire_date , sum ( department_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by sum ( department_id ) desc bin hire_date by month
visualize bar select t1 . name , count ( * ) from genres as t1 join tracks as t2 on t2 . genre_id = t1 . id group by t1 . id order by count ( * ) desc limit {value}
visualize bar select all_home , school_id from basketball_match group by acc_road , all_home order by all_home asc
visualize bar select flag , count ( flag ) from ship where ship_id not in ( select ship_id from captain where rank = {value} ) group by flag order by count ( flag ) desc
visualize bar select t1 . name , t2 . revenue from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name order by t1 . name desc
visualize bar select name , count ( * ) from membership_register_branch as t1 join branch as t2 on t1 . branch_id = t2 . branch_id where t1 . register_year > {value} group by t2 . branch_id
visualize bar select hire_date , avg ( employee_id ) from employees where hire_date < {value} bin hire_date by month
visualize bar select dept_code , count ( * ) from professor where prof_high_degree = {value} group by dept_code
visualize bar select category , count ( * ) from music_festival group by category order by category asc
visualize bar select owner , sum ( rating_in_percent ) from channel group by owner order by owner asc
visualize bar select country , count ( country ) from mountain where height > {value} group by country order by count ( country ) desc
visualize bar select result , count ( result ) from music_festival group by result order by result desc
visualize bar select headquarter , count ( distinct t1 . name ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code order by headquarter desc
visualize pie select treatment_type_description , sum ( cost_of_treatment ) from treatments as t1 join treatment_types as t2 on t1 . treatment_type_code = t2 . treatment_type_code group by treatment_type_description
visualize bar select language , count ( * ) from tv_channel group by language order by count ( * ) desc
visualize bar select owner , sum ( rating_in_percent ) from channel group by owner order by sum ( rating_in_percent ) desc
visualize bar select acc_regular_season , team_id from basketball_match
visualize bar select document_name , count ( * ) from paragraphs as t1 join documents as t2 on t1 . document_id = t2 . document_id group by t1 . document_id order by document_name asc
visualize bar select result , count ( result ) from music_festival group by result order by count ( result ) desc
visualize bar select hire_date , sum ( manager_id ) from employees where hire_date < {value} order by sum ( manager_id ) desc bin hire_date by month
visualize bar select hire_date , sum ( employee_id ) from employees where first_name like {value} or first_name like {value} order by sum ( employee_id ) desc bin hire_date by month
visualize bar select how_to_get_there , count ( * ) from tourist_attractions group by how_to_get_there order by how_to_get_there asc
visualize bar select ppos , min ( t2 . hs ) from tryout as t1 join player as t2 on t1 . pid = t2 . pid group by ppos order by ppos asc
visualize scatter select avg ( stu_gpa ) , min ( stu_gpa ) from student group by dept_code
visualize scatter select team_id , acc_percent from basketball_match group by team_name
visualize bar select t2 . name , sum ( count ( * ) ) from friend as t1 join highschooler as t2 on t1 . student_id = t2 . id group by t2 . name order by t2 . name asc
visualize bar select email , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by commission_pct desc
visualize bar select time , id from swimmer order by id asc
visualize line select hire_date , employee_id from employees where hire_date < {value}
visualize bar select rank , count ( * ) from captain group by rank
visualize line select hire_date , manager_id from employees where employee_id not in ( select employee_id from job_history ) order by hire_date asc
visualize bar select crs_code , count ( * ) from class group by crs_code order by crs_code asc
visualize bar select date_of_birth , weight from people
visualize bar select pettype , avg ( pet_age ) from pets group by pettype order by pettype asc
visualize bar select venue , count ( venue ) from workshop group by venue order by venue asc
visualize bar select school_code , count ( distinct dept_address ) from department order by count ( distinct dept_address ) desc
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value} order by name asc
visualize scatter select gender , count ( * ) from customers group by gender
visualize bar select school_code , count ( distinct dept_address ) from department order by school_code desc
visualize bar select job_id , sum ( salary ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by job_id desc
visualize bar select last_name , count ( last_name ) from employees where salary > ( select salary from employees where employee_id = {value} ) group by last_name order by count ( last_name ) desc
visualize bar select comptroller , count ( comptroller ) from election as t1 join party as t2 on t1 . party = t2 . party_id where t1 . district = {value} or t1 . district = {value} group by comptroller order by count ( comptroller ) asc
visualize bar select t2 . name , sum ( count ( * ) ) from friend as t1 join highschooler as t2 on t1 . student_id = t2 . id group by t2 . name order by t2 . name desc
visualize bar select date_claim_made , count ( date_claim_made ) from claims where amount_settled <= ( select avg ( amount_settled ) from claims ) order by count ( date_claim_made ) desc bin date_claim_made by weekday
visualize line select start_from , employee_id from hiring order by start_from asc
visualize bar select allergytype , count ( allergytype ) from allergy_type group by allergytype order by allergytype asc
visualize bar select country_name , count ( * ) from country as t1 join match_season as t2 on t1 . country_id = t2 . country group by t1 . country_name order by count ( * ) desc
visualize bar select country , count ( country ) from mountain where height > {value} group by country order by count ( country ) asc
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) asc bin date by year
visualize line select year , count ( * ) from section group by year order by year desc
visualize pie select home_city , count ( home_city ) from driver group by home_city
visualize bar select is_full_time , sum ( employee_id ) from hiring group by is_full_time
visualize bar select first_name , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by commission_pct desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid
visualize line select start_from , sum ( shop_id ) from hiring group by is_full_time order by start_from asc bin start_from by year
visualize line select year , avg ( price ) from wine group by year order by year desc
visualize bar select headquarters , count ( headquarters ) from company group by headquarters order by headquarters desc
visualize bar select date_test_taken , count ( date_test_taken ) from student_tests_taken where test_result = {value} group by date_test_taken
visualize scatter select t1 . code , t2 . revenue from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by name
visualize bar select city_town , count ( * ) from addresses as t1 join drama_workshop_groups as t2 on t1 . address_id = t2 . address_id group by t1 . city_town order by city_town desc
visualize bar select hire_date , avg ( salary ) from employees where hire_date < {value} order by avg ( salary ) desc bin hire_date by month
visualize bar select all_road , all_games_percent from basketball_match order by all_games_percent asc
visualize bar select main_industry , count ( main_industry ) from company where headquarters != {value} group by main_industry
visualize bar select nationality , avg ( id ) from swimmer group by nationality order by nationality asc
visualize pie select type , count ( type ) from film as t1 join film_market_estimation as t2 on t1 . film_id = t2 . film_id group by type
visualize bar select name , avg ( grade ) from highschooler group by name order by avg ( grade ) desc
visualize line select date_from , count ( date_from ) from project_staff bin date_from by year
visualize bar select category , count ( category ) from music_festival where result = {value} group by category
